"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in p.value_classic"	"p.value_elim"	"p.value_classic"	"genes"
"16"	"GO:0071222"	"cellular response to lipopolysaccharide"	171	27	9.49	182	7.1e-07	7.9e-07	"ACOD1,CARD16,CARD17,CCL5,CD274,CD80,CMPK2,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,ICAM1,IL12A,IL1RN,KLRK1,LILRA2,LITAF,LYN,NOD2,PDCD1LG2,PDE4B,RIPK2,SBNO2,STAP1,TICAM2,ZC3H12A"
"17"	"GO:0030449"	"regulation of complement activation"	33	11	1.83	184	8.5e-07	9e-07	"C1QB,C1R,C1S,C2,C3,C4A,C4B,CFB,CFH,CR1L,SERPING1"
"18"	"GO:0070098"	"chemokine-mediated signaling pathway"	63	15	3.5	192	1.2e-06	1.3e-06	"CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,EDN1,PADI2"
"19"	"GO:0002479"	"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent"	72	16	4	197	1.4e-06	1.5e-06	"B2M,HLA-A,HLA-B,HLA-C,HLA-E,HLA-F,HLA-G,NCF1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,TAP1,TAP2,TAPBP"
"20"	"GO:0019886"	"antigen processing and presentation of exogenous peptide antigen via MHC class II"	90	18	5	201	1.6e-06	1.8e-06	"CD74,CTSS,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,KIF11,KIF15,KIF26A,LAG3"
"21"	"GO:0030593"	"neutrophil chemotaxis"	82	17	4.55	204	1.9e-06	2e-06	"CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD300H,CD74,CXADR,CXCL10,CXCL11,CXCL5,CXCL9,DYSF,EDN1,IL1RN,PDE4B"
"22"	"GO:0071356"	"cellular response to tumor necrosis factor"	246	36	13.66	129	4.1e-06	8.6e-08	"ACOD1,AIM2,BRCA1,CARD16,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD40,CRHBP,CYLD,EDA,EDN1,GBP1,GBP2,GBP3,ICAM1,JAK2,KARS1,PID1,PSMB10,PSMB8,PSMB9,PSME1,PSME2,STAT1,TNFRSF11A,TNFRSF21,TNFSF13B,TNFSF18,TNFSF8,VCAM1,ZC3H12A"
"23"	"GO:0042102"	"positive regulation of T cell proliferation"	78	16	4.33	224	4.4e-06	4.7e-06	"CCL5,CD274,CD28,CD80,HLA-DMB,HLA-DPA1,HLA-DPB1,HLA-E,IL12A,IL12RB1,IL15,JAK3,PDCD1LG2,RIPK2,TNFSF13B,VCAM1"
"24"	"GO:0045071"	"negative regulation of viral genome replication"	55	13	3.05	240	6.7e-06	7.1e-06	"APOBEC3A,APOBEC3D,APOBEC3G,CCL5,CCL8,IFIT5,IFITM1,IFITM2,IFITM3,ISG20,PARP10,RSAD2,ZC3H12A"
"25"	"GO:0032729"	"positive regulation of interferon-gamma production"	55	13	3.05	241	6.7e-06	7.1e-06	"HLA-DPA1,HLA-DPB1,IL12A,IL12RB1,IL12RB2,IL27,KLRK1,PDE4B,RIPK2,SLAMF6,SLC11A1,TLR7,TLR8"
"26"	"GO:0007186"	"G protein-coupled receptor signaling pathway"	594	59	32.98	244	7.6e-06	9e-06	"ADGRE5,ADGRG5,ADORA3,AGT,C3,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CELSR1,CISH,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,CYSLTR1,CYSLTR2,DNM1,DTNBP1,DYNLT1,ECEL1,EDN1,F2RL3,FCN1,GABRA3,GHRL,GNG2,GPR183,GPR31,GRM8,HCAR2,HCAR3,HRH2,IGF2R,ITSN1,JAK2,LRRK2,MCF2L,NECAB2,NPR1,NXPH2,P2RY14,PDE3B,PDE4B,PLEK,PTGER4,RAPGEF2,RGS18,RXFP1,S1PR1,SSTR2,STMN1,SUCNR1,TGM2"
"27"	"GO:0071346"	"cellular response to interferon-gamma"	158	49	8.77	15	8.5e-06	4.3e-24	"ACOD1,B2M,CAMK2D,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CIITA,EDN1,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IL12RB1,IRF1,IRF7,JAK2,MT2A,NLRC5,NMI,OAS2,PARP14,PML,RAB20,SOCS1,STAT1,TRIM22,TRIM31,VCAM1"
"28"	"GO:0050830"	"defense response to Gram-positive bacterium"	49	12	2.72	248	1e-05	1.1e-05	"GBP2,GBP4,GBP6,GBP7,GSDMD,H2BC21,HLA-E,IL12A,KLRK1,P2RX7,RIPK2,TNFSF8"
"29"	"GO:0000083"	"regulation of transcription involved in G1/S transition of mitotic cell cycle"	28	9	1.55	254	1.2e-05	1.3e-05	"BACH1,CDC45,CDC6,CDT1,DHFR,E2F1,ORC1,RRM2,TYMS"
"30"	"GO:0050729"	"positive regulation of inflammatory response"	119	22	6.61	169	1.9e-05	5.4e-07	"ADAM8,AGT,C3,CCL18,CD28,GBP5,HLA-E,IDO1,IL15,JAK2,KARS1,LRRK2,NLRP12,NOD2,OSM,PTGER4,STAP1,SUCNR1,TGM2,TLR10,TLR7,TNFRSF11A"
"31"	"GO:0042531"	"positive regulation of tyrosine phosphorylation of STAT protein"	46	11	2.55	281	3e-05	3.2e-05	"CCL5,CD40,IL12A,IL15,IL31RA,JAK2,LYN,OSM,PARP14,STAP2,TNFSF18"
"32"	"GO:0035455"	"response to interferon-alpha"	20	7	1.11	306	6.2e-05	6.5e-05	"IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,LAMP3,PYHIN1"
"33"	"GO:0050718"	"positive regulation of interleukin-1 beta secretion"	27	8	1.5	311	7.2e-05	7.5e-05	"AIM2,GSDMD,LILRA2,NLRP12,NOD2,P2RX7,RIPK2,TLR8"
"34"	"GO:0032693"	"negative regulation of interleukin-10 production"	15	6	0.83	317	9e-05	9.3e-05	"CD274,DLL1,IDO1,JAK3,PDCD1LG2,TNFRSF21"
"35"	"GO:0000076"	"DNA replication checkpoint"	15	6	0.83	318	9e-05	9.3e-05	"CDC45,CDC6,CDT1,CLSPN,ORC1,TICRR"
"36"	"GO:2000425"	"regulation of apoptotic cell clearance"	10	5	0.56	325	1e-04	1e-04	"C2,C3,C4A,C4B,CD300LF"
"37"	"GO:0071347"	"cellular response to interleukin-1"	157	21	8.72	339	0.00015	0.00016	"ACOD1,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,EDN1,GBP1,GBP2,GBP3,ICAM1,IL1RN,NOD2,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RIPK2,ZC3H12A"
"38"	"GO:0050731"	"positive regulation of peptidyl-tyrosine phosphorylation"	150	27	8.33	124	0.00015	5e-08	"AGT,BANK1,CCL5,CD40,CD74,CD80,ENPP2,GHRL,HBEGF,HGF,ICAM1,IL12A,IL15,IL31RA,JAK2,KITLG,LYN,NCAPG2,NCF1,NRP1,OSM,PARP14,RIPK2,STAP1,STAP2,TAL1,TNFSF18"
"39"	"GO:0070234"	"positive regulation of T cell apoptotic process"	11	5	0.61	346	0.00018	0.00018	"ADAM8,CCL5,CD274,IDO1,PDCD1"
"40"	"GO:0042116"	"macrophage activation"	84	14	4.66	353	0.00019	2e-04	"CD74,CD93,DYSF,IL31RA,JAK2,KARS1,LRRK2,SBNO2,SLC11A1,STAP1,SUCNR1,TLR7,TLR8,ZC3H12A"
"41"	"GO:0001961"	"positive regulation of cytokine-mediated signaling pathway"	47	10	2.61	354	2e-04	0.00021	"CASP4,CD300LF,CD74,EDN1,IRF7,NLRC5,PARP14,RIPK2,TICAM2,ZBP1"
"42"	"GO:0002548"	"monocyte chemotaxis"	48	10	2.66	362	0.00024	0.00025	"CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CXCL10,LYN,SLAMF8,TNFRSF11A"
"43"	"GO:0016525"	"negative regulation of angiogenesis"	86	14	4.77	363	0.00024	0.00026	"AGT,AMOT,CX3CR1,CXCL10,E2F2,GHRL,HLA-G,KLF4,MIR503,NPR1,PDE3B,PML,STAT1,THBS2"
"44"	"GO:0002286"	"T cell activation involved in immune response"	85	19	4.72	144	0.00025	1.5e-07	"BCL6,CD1C,CD80,CEACAM1,FGL2,GPR183,HLA-DMB,ICAM1,IL12RB1,IL27,JAK3,PTGER4,RELB,RIPK2,SLAMF6,SLC11A1,TBX21,TNFSF18,ZC3H12A"
"45"	"GO:0002230"	"positive regulation of defense response to virus by host"	25	7	1.39	375	3e-04	0.00031	"AIM2,APOBEC3G,DTX3L,IL12RB1,IL27,STAT1,ZC3H12A"
"46"	"GO:0070374"	"positive regulation of ERK1 and ERK2 cascade"	156	20	8.66	384	0.00037	4e-04	"CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CD74,GLIPR2,GPR183,ICAM1,KARS1,NECAB2,NOD2,NRP1,RAPGEF2,RIPK2,SCIMP,SLAMF1,TNFAIP8L3,TNFRSF11A"
"47"	"GO:0001773"	"myeloid dendritic cell activation"	26	7	1.44	387	4e-04	0.00041	"BATF2,BATF3,FLT3LG,RELB,SLAMF1,TSPAN32,UBD"
"48"	"GO:0032103"	"positive regulation of response to external stimulus"	256	40	14.21	94	0.00041	2.4e-09	"ACOD1,ADAM8,AGT,C3,CCL18,CCL5,CCL7,CD28,CD74,CXCL10,DDX60,DYSF,EDN1,GBP5,GHRL,HLA-E,IDO1,IL12A,IL15,JAK2,KARS1,LRRK2,NLRP12,NOD2,NRP1,OPTN,OSM,P2RX4,PTGER4,RIPK2,S1PR1,SCARF1,STAP1,SUCNR1,TGM2,THBD,TLR10,TLR7,TNFRSF11A,VEGFC"
"49"	"GO:0050663"	"cytokine secretion"	189	37	10.49	59	0.00043	1.3e-11	"AGT,AIM2,BANK1,BTN2A2,BTN3A1,BTN3A2,CARD16,CARD17,CD274,CLEC6A,CLEC9A,DYSF,FCN1,GBP1,GBP5,GHRL,GSDMD,IFIH1,KARS1,LILRA2,LRRK2,LYN,MCOLN2,NLRP12,NOD2,OSM,P2RX7,PML,PTGER4,RIPK2,S100A13,SOCS1,TLR10,TLR5,TLR8,TNFRSF21,ZC3H12A"
"50"	"GO:0048247"	"lymphocyte chemotaxis"	47	14	2.61	142	0.00053	1.4e-07	"ADAM8,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CXCL10,CXCL11,CXCR3,GPR183,HSD3B7,KLRK1,PADI2"
"51"	"GO:0035456"	"response to interferon-beta"	26	9	1.44	235	0.00053	6.3e-06	"ACOD1,AIM2,IFITM1,IFITM2,IFITM3,IRF1,PYHIN1,STAT1,XAF1"
"52"	"GO:0032727"	"positive regulation of interferon-alpha production"	20	6	1.11	407	0.00055	0.00057	"IFIH1,IRF7,RIPK2,STAT1,TLR7,TLR8"
"53"	"GO:0043123"	"positive regulation of I-kappaB kinase/NF-kappaB signaling"	173	21	9.6	414	0.00056	6e-04	"APOL3,CARD16,CD40,CD74,CLEC6A,CX3CR1,EDA,IFIT5,IL1RN,LITAF,NOD2,RIPK2,S100A13,SECTM1,SLC20A1,TGM2,TICAM2,TIFA,TNFSF10,TRIM22,UBD"
"54"	"GO:0002573"	"myeloid leukocyte differentiation"	174	21	9.66	417	0.00061	0.00065	"BATF2,BATF3,CD101,CD74,CEACAM1,GPR183,IL15,IL31RA,IRF7,KITLG,LILRB3,LYN,MMP9,RELB,SBNO2,SH3PXD2A,SNX10,TAL1,TESC,TNFRSF11A,UBD"
"55"	"GO:0009617"	"response to bacterium"	433	65	24.04	40	0.00062	1.4e-13	"ACOD1,B2M,BANK1,C15orf48,C3,C4B,CARD16,CARD17,CCL5,CD274,CD80,CMPK2,CSF2RB,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CYP1A1,EDN1,FAM20A,GBP2,GBP4,GBP5,GBP6,GBP7,GCH1,GSDMD,H2BC21,HLA-E,ICAM1,IDO1,IL12A,IL12RB2,IL1RN,IL27,JAK2,KLRK1,LILRA2,LITAF,LYN,MT2A,NLRC5,NOD2,OAS2,OPTN,P2RX7,PDCD1LG2,PDE4B,PLAAT3,PTGER4,RIPK2,SBNO2,SLAMF8,SLC11A1,STAP1,THBD,TICAM2,TLR5,TMEM255A,TNFRSF11A,TNFSF8,TRDN,VCAM1,ZC3H12A"
"56"	"GO:0052548"	"regulation of endopeptidase activity"	302	31	16.77	423	0.00064	0.00071	"AGT,AIM2,ATP13A2,BCL2L11,BIRC5,C3,C4A,C4B,CARD16,CARD17,CASP4,FAS,GRAMD4,HGF,JAK2,KLF4,LAMP3,LYN,MEFV,MMP9,NLRP12,PMAIP1,PML,PSMB8,PSMB9,PSME1,PSME2,PZP,RIPK2,SERPING1,TNFSF10"
"57"	"GO:0006268"	"DNA unwinding involved in DNA replication"	14	5	0.78	422	0.00067	0.00068	"MCM2,MCM4,MCM6,MCM7,RECQL4"
"58"	"GO:0045954"	"positive regulation of natural killer cell mediated cytotoxicity"	21	6	1.17	427	0.00074	0.00076	"HLA-E,HLA-F,IL12A,KLRK1,LAG3,SLAMF6"
"59"	"GO:0019221"	"cytokine-mediated signaling pathway"	656	111	36.42	8	0.00074	3e-27	"ACSL1,AIM2,APPL2,B2M,BCL6,BIRC5,CAMK2D,CARD16,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CD300LF,CD40,CD74,CD80,CEACAM1,CIITA,CISH,CSF2RB,CX3CR1,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,CYLD,EDA,EDN1,FLT3LG,GBP1,GBP2,HGF,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,ICAM1,IFI27,IFI35,IFIT2,IFIT3,IFITM1,IFITM2,IFITM3,IL12A,IL12RB1,IL12RB2,IL15,IL15RA,IL18BP,IL1RN,IL22RA2,IL27,IL31RA,IL32,IL3RA,IRF1,IRF7,ISG20,JAK2,JAK3,KARS1,MMP9,MT2A,MUC1,NLRC5,NMI,NOD2,OAS2,OSM,PADI2,PARP14,PIM1,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,RIPK2,RSAD2,S1PR1,SOCS1,STAP1,STAT1,STAT2,TICAM2,TNFRSF11A,TNFSF13B,TNFSF18,TNFSF8,TRIM22,TRIM31,VCAM1,XAF1,ZBP1"
"60"	"GO:0097028"	"dendritic cell differentiation"	37	8	2.05	430	0.00077	8e-04	"BATF2,BATF3,HLA-G,LYN,RELB,TMEM176A,TMEM176B,UBD"
"61"	"GO:0031295"	"T cell costimulation"	46	9	2.55	434	0.00079	0.00082	"CD274,CD28,CD80,CTLA4,KLRK1,LYN,PDCD1,PDCD1LG2,TNFSF13B"
"62"	"GO:0002687"	"positive regulation of leukocyte migration"	108	15	6	439	0.00085	0.00089	"ADAM8,CCL5,CCL7,CCL8,CD74,CXCL10,DYSF,EDN1,ICAM1,IL12A,KARS1,KITLG,P2RX4,TNFSF18,VEGFC"
"63"	"GO:0006959"	"humoral immune response"	130	29	7.22	64	0.00086	8.3e-11	"ACOD1,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CCL13,CD28,CFB,CFH,CR1L,CXCL10,CXCL11,CXCL5,CXCL9,EXO1,FCN1,GPR183,H2BC21,HLA-DQB1,HLA-E,PDCD1,PSMB10,SERPING1,SLC11A1,TNFRSF21"
"64"	"GO:0007586"	"digestion"	66	11	3.66	440	0.00089	0.00094	"GCNT3,GHRL,HRH2,NOD2,PGA3,PGA4,PGA5,SLC2A5,SNX10,TIFAB,TYMP"
"65"	"GO:0006955"	"immune response"	1592	230	88.38	1	0.00095	NA	"ACOD1,ADAM8,ADGRE5,AIM2,APOBEC3A,APOBEC3D,APOBEC3G,APOL1,APPL2,B2M,BCL6,BTN2A2,BTN3A1,BTN3A2,BTN3A3,C1QB,C1R,C1RL,C1S,C2,C3,C4A,C4B,CALCOCO2,CAMK2D,CASP4,CCL13,CCL15,CCL18,CCL5,CCL7,CCL8,CCRL2,CD1A,CD1C,CD274,CD28,CD300LF,CD38,CD40,CD7,CD74,CD80,CD93,CEACAM1,CFB,CFH,CIITA,CLEC10A,CLEC2B,CLEC6A,COLEC12,CR1L,CTLA4,CTSS,CX3CR1,CXADR,CXCL10,CXCL11,CXCL5,CXCL9,CXCR3,CYLD,CYSLTR1,CYSLTR2,DDX60,DLL1,DTX3L,DYNLT1,DYSF,EDA,EDN1,ENPP2,ENPP4,ERAP2,EXO1,FAS,FCN1,FGL1,FGL2,FYB1,GBP1,GBP2,GBP3,GBP4,GBP5,GBP6,GBP7,GCH1,GCNT3,GPR183,GRAMD4,GSDMD,GTPBP1,H2BC21,HLA-A,HLA-B,HLA-C,HLA-DMA,HLA-DMB,HLA-DOA,HLA-DOB,HLA-DPA1,HLA-DPB1,HLA-DQA1,HLA-DQB1,HLA-DQB2,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HLA-F,HLA-G,HRH2,ICAM1,ICAM2,IDO1,IFI27,IFI35,IFI44L,IFIH1,IFIT2,IFIT3,IFIT5,IFITM1,IFITM2,IFITM3,IGF2R,IGSF6,IL12A,IL12RB1,IL15,IL18BP,IL1RN,IL27,IL32,IRF1,IRF7,ISG20,ITK,JAK2,JAK3,KARS1,KLRK1,LAG3,LAMP3,LILRA1,LILRA2,LILRB3,LY75,LYN,MCOLN2,MEFV,MMP25,MMP9,MSRB1,MT2A,MUC1,MVP,NCF1,NLRC5,NMI,NOD2,NUB1,OAS2,OPTN,OSM,P2RX7,PADI2,PARP14,PDCD1,PDCD1LG2,PDE4B,PLPP4,PML,PSMB10,PSMB8,PSMB9,PSME1,PSME2,PTGER4,PYHIN1,RAB20,RELB,RIPK2,RNF19B,RSAD2,S100A13,SBNO2,SECTM1,SELL,SERINC5,SERPING1,SIT1,SLAMF1,SLAMF6,SLAMF7,SLAMF8,SLC11A1,SLC2A5,SOCS1,STAP1,STAT1,STAT2,SUCNR1,TAP1,TAP2,TAPBP,TBX21,TICAM2,TIFA,TLR10,TLR5,TLR7,TLR8,TNFAIP6,TNFRSF11A,TNFRSF21,TNFSF10,TNFSF13B,TNFSF18,TNFSF8,TRAFD1,TRIM22,TRIM31,UBD,VCAM1,XAF1,ZBP1,ZC3H12A"
"66"	"GO:1902969"	"mitotic DNA replication"	15	5	0.83	445	0.00095	0.00098	"BCL6,CDC45,MCM2,MCM4,MCM6"
"67"	"GO:0046597"	"negative regulation of viral entry into host cell"	15	5	0.83	446	0.00095	0.00098	"FCN1,IFITM1,IFITM2,IFITM3,TRIM31"
"68"	"GO:0000819"	"sister chromatid segregation"	173	23	9.6	313	0.001	8.6e-05	"AURKB,BUB1B,CDC6,CDCA5,CDT1,CENPK,CHMP4C,DSCC1,ESCO2,FEN1,HORMAD1,KIF18B,MAD2L1,MEIKIN,NCAPG,NCAPH,NDC80,NUF2,NUSAP1,PRC1,RMI2,TOP2A,ZWINT"
