Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
lymphocyte chemotaxis (GO:0048247)	10/44	1.3590662715151798E-6	2.667428916746909E-4	0	0	6.845564074479737	92.47475807141569	CCL13;HSD3B7;CXCL10;CXCL9;CXCL11;CCL8;CCL7;GPR183;ADAM8;CCL15
G1/S transition of mitotic cell cycle (GO:0000082)	15/105	1.9594367381193155E-6	3.703335435045506E-4	0	0	4.3029259896729775	56.55272592312185	CDT1;CDKN2C;RRM2;MCM7;MCM10;CDC6;TYMS;CDC25A;DHFR;CDC45;CCNE2;E2F1;MCM4;MCM6;MCM2
regulation of apoptotic cell clearance (GO:2000425)	5/8	2.0476124953630762E-6	3.731773772799206E-4	0	0	18.825301204819276	246.5895346373911	C4B;C3;C4A;CD300LF;C2
negative regulation of cytokine production (GO:0001818)	15/110	3.551277637131445E-6	6.249024062855781E-4	0	0	4.107338444687842	51.53971709244708	CD274;BTN2A2;SLC11A1;NLRC5;ACOD1;UBE2L6;PDCD1LG2;MEFV;IFIH1;CYLD;CEACAM1;TBX21;ZC3H12A;JAK3;SLAMF1
response to tumor necrosis factor (GO:0034612)	14/97	3.7883673928915372E-6	6.444012935308504E-4	0	0	4.347286051422183	54.26967320274912	CCL13;PID1;GCH1;ACOD1;TNFRSF11A;BRCA1;NUB1;CCL8;CCL7;UBD;ZC3H12A;JAK2;TNFRSF21;CCL15
positive regulation of cytokine production (GO:0001819)	22/220	4.468024895616865E-6	7.35494549752673E-4	0	0	3.0120481927710845	37.104108749369146	ZBP1;GBP5;IL15;RIPK2;SLC11A1;BRCA1;CLEC9A;NOD2;DDX60;AGT;HLA-E;C3;CLEC6A;IRF1;CD28;HLA-DPB1;PDE4B;IRF7;SLAMF6;IL12RB1;HLA-DPA1;IL12RB2
positive regulation of interferon-gamma production (GO:0032729)	9/43	9.520268654760566E-6	0.001518185342038849	0	0	6.30428691510227	72.8907168714568	SLC11A1;PDE4B;HLA-DPB1;TLR8;IL27;SLAMF6;IL12RB1;HLA-DPA1;IL12RB2
regulation of interferon-gamma production (GO:0032649)	9/43	9.520268654760566E-6	0.0014721797256134295	0	0	6.30428691510227	72.8907168714568	CD274;SLC11A1;PDE4B;HLA-DPB1;SLAMF6;PDCD1LG2;IL12RB1;HLA-DPA1;IL12RB2
positive regulation of intracellular signal transduction (GO:1902533)	35/479	1.2065143000618676E-5	0.0018108360215340325	0	0	2.2008702869934855	24.925274179730305	CD40;CXCL9;NCF1;SLC20A1;CD80;SECTM1;TNFRSF11A;NOD2;DDX60;BCL2L11;UBD;S100A13;TNFSF10;PMAIP1;TNFAIP8L3;JAK2;APOL3;TRIM22;EPHB3;CD74;RIPK2;HGF;LMTK2;AGT;CXCL10;CXCL11;KITLG;P2RX4;CLEC6A;CD28;RAPGEF2;FAS;ADAM8;CARD16;HBEGF
regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)	7/26	1.6328044247696704E-5	0.0023806288513141794	0	0	8.109360518999074	89.38645152656409	DHFR;CDT1;CDC45;RRM2;E2F1;CDC6;TYMS
antigen receptor-mediated signaling pathway (GO:0050851)	23/257	1.7115000043054456E-5	0.002426051256102969	0	0	2.695607332051943	29.585787295453816	ITK;HLA-DRB5;BTN3A1;BTN2A2;RIPK2;BTN3A3;BTN3A2;PSMB8;PSMB10;PSMB9;PSME1;HLA-DPB1;PDE4B;PSME2;CTLA4;CD38;HLA-DRA;HLA-DQA1;HLA-DRB1;HLA-DQB2;TNFRSF21;HLA-DPA1;HLA-DQB1
antigen processing and presentation of endogenous peptide antigen (GO:0002483)	4/6	1.712326372047374E-5	0.0023616220206912836	0	0	20.08032128514056	220.38298328396846	ERAP2;TAP1;B2M;HLA-E
response to interferon-beta (GO:0035456)	6/19	2.4535109227138166E-5	0.003294806904897002	0	0	9.511731135066581	100.97088240210802	IFITM1;IFITM2;STAT1;IRF1;ACOD1;XAF1
positive regulation of T cell proliferation (GO:0042102)	10/61	2.9716558745286897E-5	0.0038882974173640775	0	0	4.937783922575548	51.470502340550766	CD274;HLA-DMB;VCAM1;CD80;CD28;HLA-DPB1;PDCD1LG2;IL12RB1;JAK3;HLA-DPA1
myeloid leukocyte differentiation (GO:0002573)	9/50	3.4380610048418824E-5	0.004386106326927031	0	0	5.421686746987952	55.7241929668458	BATF2;BATF3;SBNO2;UBD;GPR183;IL31RA;SNX10;TNFRSF11A;MMP9
negative regulation of viral genome replication (GO:0045071)	9/50	3.4380610048418824E-5	0.00427912812383125	0	0	5.421686746987952	55.7241929668458	ISG20;PARP10;APOBEC3D;IFITM1;IFITM2;RSAD2;APOBEC3G;ZC3H12A;APOBEC3A
positive regulation of defense response to virus by host (GO:0002230)	6/21	4.636232230245876E-5	0.005633022159748739	0	0	8.605851979345955	85.87799869141064	AIM2;APOBEC3G;DTX3L;STAT1;ZC3H12A;IL12RB1
cell cycle G1/S phase transition (GO:0044843)	12/92	5.199243851721583E-5	0.00617017241286866	0	0	3.9287585123101096	38.754893647538594	CCNA2;CDT1;CDC45;CDKN2C;MCM7;CCNE2;MCM4;MCM10;MCM6;CDC6;CDC25A;MCM2
DNA metabolic process (GO:0006259)	25/314	5.3539152909707625E-5	0.006209324938596319	0	0	2.398127542015194	23.58581781336663	TOP2A;FEN1;MCM7;MCM10;BRCA1;TYMS;RECQL4;CDC45;EXO1;PCLAF;RAD54L;FBXO6;TK1;CLSPN;HELLS;RMI2;XRCC2;CDC6;CDC25A;TICRR;DMC1;CDK1;MCM4;MCM6;MCM2
tumor necrosis factor-mediated signaling pathway (GO:0033209)	14/123	5.9206956754358887E-5	0.006714068895944298	0	0	3.4283475364874128	33.37315142112397	TNFSF18;CD40;STAT1;TNFRSF11A;PSMB10;PSMB8;TNFSF13B;PSMB9;AIM2;PSME1;PSME2;FAS;JAK2;TNFRSF21
negative regulation of interleukin-1 beta production (GO:0032691)	5/14	6.19847028417291E-5	0.006876259534811818	0	0	10.757314974182444	104.223568542608	ZC3H12A;CARD17;GHRL;CARD16;MEFV
positive regulation of cAMP-mediated signaling (GO:0043950)	4/8	7.575656655202037E-5	0.008225228917339573	0	0	15.06024096385542	142.8913468400079	CXCL10;CXCL11;CXCL9;RAPGEF2
positive regulation of T cell activation (GO:0050870)	10/68	7.777891198671046E-5	0.008268870580587156	0	0	4.429482636428065	41.91017105633034	CD274;HLA-DMB;VCAM1;CD80;CD28;HLA-DPB1;PDCD1LG2;NOD2;JAK3;HLA-DPA1
response to molecule of bacterial origin (GO:0002237)	12/98	9.7154342591027E-5	0.010117930821265525	0	0	3.688222276862552	34.07625897449101	C4B;CXCL10;CXCL11;CD40;CXCL9;GCH1;SLC11A1;ACOD1;FAS;TNFRSF11A;JAK2;TNFRSF21
cellular response to molecule of bacterial origin (GO:0071219)	11/84	1.0218100758740617E-4	0.010428593634370674	0	0	3.9443488238668962	36.24369336820256	CD274;CXCL10;SBNO2;CD80;ZC3H12A;PDE4B;CARD17;ACOD1;STAP1;PDCD1LG2;CARD16
T cell migration (GO:0072678)	5/16	1.2796727004902247E-4	0.012804254491375719	0	0	9.412650602409638	84.37251533776532	CXCL10;CXCL9;CXCL11;GPR183;S1PR1
positive regulation of interleukin-1 beta secretion (GO:0050718)	6/25	1.3510073982324155E-4	0.013258059140730801	0	0	7.228915662650602	64.40595062817351	GSDMD;P2RX7;AIM2;RIPK2;TLR8;NOD2
negative regulation of viral life cycle (GO:1903901)	9/61	1.7199759687014376E-4	0.016560447864685728	0	0	4.444005530317993	38.520773492199645	ISG20;PARP10;IFITM1;IFITM2;RSAD2;APOBEC3G;TRIM31;PML;APOBEC3A
DNA replication checkpoint (GO:0000076)	5/17	1.7635150852846732E-4	0.01666521755594016	0	0	8.85896527285613	76.56831455656862	CDT1;CDC45;CDC6;CLSPN;TICRR
cellular response to lipopolysaccharide (GO:0071222)	11/91	2.1116366695459856E-4	0.019592148953987573	0	0	3.640937375877135	30.81280536752241	CD274;CXCL10;SBNO2;CD80;ZC3H12A;PDE4B;CARD17;ACOD1;STAP1;PDCD1LG2;CARD16
T cell chemotaxis (GO:0010818)	4/10	2.154856631307875E-4	0.01963613105279301	0	0	12.048192771084338	101.71826721721688	CXCL10;CXCL11;CXCL9;GPR183
positive regulation of T cell apoptotic process (GO:0070234)	4/10	2.154856631307875E-4	0.019291637525551027	0	0	12.048192771084338	101.71826721721688	CD274;ADAM8;PDCD1;IDO1
regulation of viral genome replication (GO:0045069)	9/63	2.213127894269966E-4	0.01947170973182696	0	0	4.3029259896729775	36.21313907193553	TOP2A;ISG20;PARP10;IFITM1;IFITM2;RSAD2;APOBEC3G;CD28;APOBEC3A
positive regulation of innate immune response (GO:0045089)	7/38	2.2161383249595217E-4	0.019167718427573626	0	0	5.5485098287888395	46.688347565155745	ZBP1;GBP5;NLRC5;TLR8;ADAM8;DDX60;HLA-E
regulation of cAMP-mediated signaling (GO:0043949)	5/18	2.3753676235132519E-4	0.020202501637980208	0	0	8.366800535475235	69.82252474582037	CXCL10;CXCL9;CXCL11;PDE3B;RAPGEF2
positive regulation of phagocytosis (GO:0050766)	7/39	2.624379639101943E-4	0.021954441472683963	0	0	5.406240345999382	44.57713223877455	C3;C4B;C4A;SLC11A1;STAP1;CD300LF;C2
positive regulation of MAPK cascade (GO:0043410)	22/289	2.784634673988683E-4	0.022919339905426207	0	0	2.2929086588568808	18.770263167252423	NECAB2;NRP1;CCL13;CD74;CD40;EDN1;LRRK2;LMTK2;TNFRSF11A;NOD2;SCIMP;ICAM1;CCL8;CCL7;GPR183;RAPGEF2;FAS;TNFAIP8L3;ADAM8;EPHB3;SLAMF1;CCL15
JAK-STAT cascade (GO:0007259)	7/40	3.0909671687859346E-4	0.02503683406716607	0	0	5.271084337349397	42.60014632005656	STAT1;IL15;STAT2;IL31RA;NMI;JAK2;JAK3
positive regulation of interferon-alpha production (GO:0032727)	5/19	3.1360926112207504E-4	0.025005438429780452	0	0	7.926442612555484	63.94548777968295	IFIH1;STAT1;RIPK2;IRF7;TLR8
positive regulation of interleukin-1 secretion (GO:0050716)	6/29	3.2363964075698916E-4	0.02540820133512178	0	0	6.231823847112588	50.078187875155706	GSDMD;P2RX7;AIM2;RIPK2;TLR8;NOD2
cellular response to oxygen-containing compound (GO:1901701)	21/274	3.4707539649212767E-4	0.02683523861059587	0	0	2.308504089350101	18.38947090558324	CD274;PID1;NCF1;TESC;CD80;ACOD1;PDCD1LG2;SSTR2;MMP9;CXCL10;SBNO2;GNG2;P2RX4;SESN3;ZC3H12A;PDK4;CARD17;PDE4B;RAPGEF2;STAP1;CARD16
regulation of defense response to virus by host (GO:0050691)	6/30	3.932957858129753E-4	0.029955050671695713	0	0	6.024096385542169	47.23463008148657	AIM2;APOBEC3G;DTX3L;STAT1;ZC3H12A;IL12RB1
positive regulation of ERK1 and ERK2 cascade (GO:0070374)	17/201	4.0631913331375444E-4	0.030491860842648367	0	0	2.54750344662231	19.891853727790025	NECAB2;NRP1;CCL13;CD74;LMTK2;TNFRSF11A;NOD2;SCIMP;ICAM1;CCL8;CCL7;GPR183;RAPGEF2;TNFAIP8L3;EPHB3;SLAMF1;CCL15
regulation of innate immune response (GO:0045088)	9/69	4.4421745311916784E-4	0.03285277772850889	0	0	3.9287585123101096	30.326858392407964	GBP5;STAT1;IRF1;STAT2;ACOD1;TRAFD1;TLR8;ADAM8;HLA-E
negative regulation of angiogenesis (GO:0016525)	9/69	4.4421745311916784E-4	0.03238345233238734	0	0	3.9287585123101096	30.326858392407964	NPR1;STAT1;PDE3B;E2F2;GHRL;THBS2;KLF4;PML;AMOT
positive regulation of interleukin-1 beta production (GO:0032731)	6/31	4.741291027735146E-4	0.03407719452751049	0	0	5.829770695685969	44.62124507171198	GSDMD;P2RX7;AIM2;RIPK2;TLR8;NOD2
positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731)	12/116	4.789788524229E-4	0.03394762616547303	0	0	3.115911923556294	23.817576166259595	TNFSF18;NRP1;CD74;CD40;RIPK2;BANK1;CD80;HGF;ENPP2;IL31RA;JAK2;AGT
cellular response to fatty acid (GO:0071398)	4/12	4.8165141720182407E-4	0.033669413451793265	0	0	10.04016064257028	76.68965769453446	PID1;DGAT2;ZC3H12A;PDK4
negative regulation of interleukin-12 production (GO:0032695)	4/12	4.8165141720182407E-4	0.03321442137812038	0	0	10.04016064257028	76.68965769453446	TLR8;MEFV;JAK3;SLAMF1
cellular response to interleukin-1 (GO:0071347)	14/150	4.846031661979213E-4	0.03297239942810657	0	0	2.811244979919679	21.455928317992154	CCL13;IL1RN;RIPK2;ACOD1;NOD2;PSMB10;PSMB8;PSMB9;CCL8;CCL7;ZC3H12A;PSME1;PSME2;CCL15
regulation of peptidyl-tyrosine phosphorylation (GO:0050730)	10/85	5.053741155597992E-4	0.03393321199607441	0	0	3.543586109142452	26.8965683205955	NRP1;CD74;RIPK2;BANK1;CD80;HGF;ENPP2;JAK2;AGT;IL22RA2
regulation of T cell activation (GO:0050863)	7/44	5.664350832207165E-4	0.03753919778799112	0	0	4.791894852135816	35.82491548296775	TNFSF18;SIT1;TBX21;HLA-DPB1;IL27;JAK3;HLA-DPA1
regulation of calcium ion transport into cytosol (GO:0010522)	5/22	6.539713929739065E-4	0.04278482074802365	0	0	6.845564074479737	50.19473541274562	P2RX7;P2RX4;ANK2;PML;TRDN
STAT cascade (GO:0097696)	5/22	6.539713929739065E-4	0.042243240738555	0	0	6.845564074479737	50.19473541274562	STAT1;STAT2;IL31RA;NMI;JAK2
positive regulation of cytokine-mediated signaling pathway (GO:0001961)	6/33	6.741539662430299E-4	0.043002596121727264	0	0	5.47645125958379	39.98933207325995	ZBP1;CD74;EDN1;CASP4;NLRC5;CD300LF
positive regulation of receptor binding (GO:1900122)	3/6	6.758977726128634E-4	0.04258155967461039	0	0	15.06024096385542	109.93175779069686	NRP1;B2M;MMP9
regulation of glial cell differentiation (GO:0045685)	3/6	6.758977726128634E-4	0.042062272361505386	0	0	15.06024096385542	109.93175779069686	SLC45A3;CDK1;TNFRSF21
amine metabolic process (GO:0009308)	3/6	6.758977726128634E-4	0.04155549799570412	0	0	15.06024096385542	109.93175779069686	AOC3;SULT1C2;VCAM1
regulation of interleukin-1 beta production (GO:0032651)	4/13	6.775131386742979E-4	0.041158923174463596	0	0	9.267840593141798	67.6281891799932	AIM2;GHRL;NOD2;MEFV
negative regulation of interleukin-10 production (GO:0032693)	4/13	6.775131386742979E-4	0.04067470054888167	0	0	9.267840593141798	67.6281891799932	CD274;PDCD1LG2;JAK3;TNFRSF21
positive regulation of leukocyte migration (GO:0002687)	6/34	7.959029598228609E-4	0.04722666051134953	0	0	5.315379163713678	37.9307226576281	TNFSF18;CXCL10;CXCL9;CXCL11;ADAM8;ICAM1
negative regulation of T cell activation (GO:0050868)	6/34	7.959029598228609E-4	0.046683825333058156	0	0	5.315379163713678	37.9307226576281	CD274;CEACAM1;CD80;PDCD1LG2;JAK3;TNFRSF21
cellular response to lipid (GO:0071396)	15/178	9.048343309820674E-4	0.05247010898865329	0	0	2.5382428590767563	17.787393454828095	CD274;PID1;CD80;TESC;ACOD1;PDCD1LG2;SSTR2;CXCL10;SBNO2;ZC3H12A;PDK4;CARD17;PDE4B;STAP1;CARD16
myeloid dendritic cell activation (GO:0001773)	4/14	9.23725903780165E-4	0.05296374479764249	0	0	8.605851979345955	60.129906809464465	BATF2;BATF3;UBD;SLAMF1
negative regulation of T cell proliferation (GO:0042130)	5/24	9.991445439738067E-4	0.05665149564331484	0	0	6.275100401606426	43.352228295178506	CD274;BTN2A2;CD80;PDCD1LG2;TNFRSF21
MAPK cascade (GO:0000165)	20/278	0.001047292122792242	0.05872891980888804	0	0	2.1669411458784777	14.868569334872456	SPTBN4;CAMK2D;RIPK2;NRK;HGF;LRRK2;RASGRF1;IL31RA;CSF2RB;PSMB8;PSMB10;PSMB9;KITLG;IL3RA;PSME1;PSME2;RAPGEF2;JAK2;JAK3;HBEGF
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	7/49	0.0011004149310602567	0.06103714557826619	0	0	4.3029259896729775	29.31182426957341	CXCL10;CXCL9;CAMK2D;CXCL11;ANK2;SRI;TRDN
regulation of chromatin assembly or disassembly (GO:0001672)	3/7	0.0011536479290192526	0.06330177829876608	0	0	12.908777969018931	87.32563999504995	PARP10;TAL1;PADI2
regulation of T-helper 1 cell differentiation (GO:0045625)	3/7	0.0011536479290192526	0.06262835512537496	0	0	12.908777969018931	87.32563999504995	CD80;IL27;JAK3
regulation of interleukin-10 production (GO:0032653)	5/25	0.001215156476021346	0.06527308944354662	0	0	6.024096385542169	40.43905074477768	CD274;CD28;NOD2;PDCD1LG2;JAK3
positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	5/25	0.001215156476021346	0.06459316142850967	0	0	6.024096385542169	40.43905074477768	KLRK1;STAP1;SLAMF6;IL12RB1;HLA-E
cellular metal ion homeostasis (GO:0006875)	10/96	0.0013161884898807322	0.06924236973052965	0	0	3.137550200803213	20.81141825722486	CCL13;CD40;CCL8;CCL7;ANK2;ATP13A2;ATP1B2;KCNJ2;TRDN;CCL15
regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043122)	16/204	0.00133060548490699	0.06928652846408541	0	0	2.3623907394283012	15.644037771165538	CD74;CD40;RIPK2;SLC20A1;STAT1;SECTM1;NOD2;UBD;CLEC6A;ZC3H12A;TNFSF10;S100A13;CARD16;TRIM22;OPTN;APOL3
negative regulation of blood vessel morphogenesis (GO:2000181)	8/65	0.0013467100314044143	0.0694167807096639	0	0	3.7071362372567194	24.50450667157633	NPR1;STAT1;PDE3B;GHRL;THBS2;KLF4;PML;AMOT
